"ppntID","gender","age","language","country","screenheight","screenwidth"
8851512,"male","40","arabic","Egypt",900,1440
5926988,"male","57","english","United States",768,1366
6444061,"male","66","english","United States",768,1360
6517208,"other","25","english","United States",1080,1920
8953967,"female","53","english","United States",768,1366
1280357,"other","33","english","United States",825,1467
2020584,"male","63","english","United States",1440,2560
3031810,"male","33","english","India",768,1366
2592897,"female","28","english","United States",768,1366
9629907,"female","29","english","United States",1200,1920
4997867,"female","25","tamil","India",768,1366
5619613,"male","24","english","India",768,1366