text,starred,source,structure_group
I asked what who saw?,TRUE,adger,1
Who was for Mandy to poison awful?,TRUE,adger,2
I am eating a mango and Gillian has too.,TRUE,adger,3
Jason intended for to learn magic.,TRUE,adger,4
Vampires have many become vegetarian.,TRUE,adger,5
Zeus stinks to be omnipotent.,TRUE,adger,6
I saw him ever.,TRUE,adger,7
Did Mandy poison who?,TRUE,adger,8
That monkey is ate the banana.,TRUE,adger,9
Genie intoned the mirror.,TRUE,adger,10
Mandy tried her to leave.,TRUE,adger,11
Which king did you ask which city invaded?,TRUE,adger,12
Enkidu do freed animals.,TRUE,adger,13
Readings Shakespeare satisfied me.,TRUE,adger,14
Has that we have arrived back at our starting point proved that the world is round?,TRUE,adger,15
John is having fought Humbaba.,TRUE,adger,16
Dragons have most been neutered.,TRUE,adger,17
There arrived by Mandy.,TRUE,adger,18
You said she liked yourself.,TRUE,adger,19
Bill reading Shakespeare and Maureen singing Schubert satisfy me.,TRUE,adger,20
Jason knew those Mandy had cast the spell.,TRUE,adger,21
We all thought he to be unhappy.,TRUE,adger,22
I arranged for to see her.,TRUE,adger,23
John doesn’t ate the honey.,TRUE,adger,24
Anson believed to be happy.,TRUE,adger,25
Peter is those pigs.,TRUE,adger,26
What she thought that was the poison was neutralised.,TRUE,adger,27
Constant reading Shakespeare satisfied me.,TRUE,adger,28
What Jason asked whether was the potion was ready.,TRUE,adger,29
Peter is some happy pigs which can fly.,TRUE,adger,30
"Frantically at, Anson danced extremely Trade.",TRUE,adger,31
We all thought him was unhappy.,TRUE,adger,32
Ron asked that the potion was ready.,TRUE,adger,33
I inquired could we leave early.,TRUE,adger,34
Who was that Plato loved obvious?,TRUE,adger,35
I said that that Jason was jealous annoyed Mandy.,TRUE,adger,36
Mandy seems that has poisoned Jason.,TRUE,adger,37
We believed to be omnipotent.,TRUE,adger,38
Benjamin thought he would give the cloak to Lee and the cloak to Lee he gave.,TRUE,adger,39
House the old collapsed.,TRUE,adger,40
Mandy exclaimed if the potion was ready.,TRUE,adger,41
Which city do you believe the claim that Philip would invade?,TRUE,adger,42
By is eaten monkey banana that the being.,TRUE,adger,43
Bill reading of Shakespeare satisfied me.,TRUE,adger,44
John failed often Herbology.,TRUE,adger,45
Benjamin said he would give the cloak to Lee and give the cloak he did to Lee.,TRUE,adger,46
Enkidu quickly may free the animals.,TRUE,adger,47
The monkey is ate the banana.,TRUE,adger,48
It is true that I might be doing something other than going to the party.,FALSE,adger,49
We need some technician to help us.,FALSE,adger,50
The book that Anson lent to Jenny.,FALSE,adger,51
"When the executioner arrived, Hephaestus was asleep.",FALSE,adger,52
That the answer is obvious upset Hermes.,FALSE,adger,53
Moya’s football team loved her.,FALSE,adger,54
Mandy poisoned more children than Jason did.,FALSE,adger,55
What have you eaten?,FALSE,adger,56
Jenny’s scraggy extremely demonic cat.,FALSE,adger,57
Benjamin gave Lee the cloak.,FALSE,adger,58
Bill reading Shakespeare satisfied me.,FALSE,adger,59
We believed Zeus to be omnipotent.,FALSE,adger,60
That bottle of water might have.,FALSE,adger,61
Lucy’s disdain for Edmund.,FALSE,adger,62
There is a description of Aristotle in the book.,FALSE,adger,63
Julie and Jenny did.,FALSE,adger,64
I have sent letters to Environmental Heath.,FALSE,adger,65
Why did you kill Pegasus?,FALSE,adger,66
Jason thought of defending the dragon.,FALSE,adger,67
The consul’s gift of the gladiator to himself.,FALSE,adger,68
Dracula thought that he was the Prince of Darkness.,FALSE,adger,69
"At Trade, Anson danced extremely frantically.",FALSE,adger,70
People are in the garden.,FALSE,adger,71
Where did Perseus see the Gorgon?,FALSE,adger,72
Anson became the Mayor.,FALSE,adger,73
The time when Alison and David soaked their feet was after dinner.,FALSE,adger,74
Where has he put the cake?,FALSE,adger,75
They depend on Mary.,FALSE,adger,76
What she thought was that the poison was neutralised.,FALSE,adger,77
Benjamin caused the book to go to Ross.,FALSE,adger,78
I am to eat macaroni.,FALSE,adger,79
It’s quarter past four.,FALSE,adger,80
He looked up the number.,FALSE,adger,81
"In every club in London, people threw up their hands in the air.",FALSE,adger,82
Julie and Jenny arrived first.,FALSE,adger,83
"Raffi slept well, and Gillian will too.",FALSE,adger,84
Has the man eaten the cake?,FALSE,adger,85
Ron definitely has bought a dog.,FALSE,adger,86
Benjamin gave the cloak to Lee.,FALSE,adger,87
I think she will go.,FALSE,adger,88
The Gorgon is easy to slay.,FALSE,adger,89
Humans love to eat them.,FALSE,adger,90
I want to sing.,FALSE,adger,91
Jason persuaded Mandy to desert her family.,FALSE,adger,92
The Peter we all like was at the party.,FALSE,adger,93
That bottle of water might have cracked open.,FALSE,adger,94
Burn letters to Peter!,FALSE,adger,95
John perhaps should be leaving.,FALSE,adger,96
He queried what who threw?,TRUE,paraphrase,1
Where was for Mandy to go disastrous?,TRUE,paraphrase,2
I am pounding a nail and Gillian has too.,TRUE,paraphrase,3
Jason tried for to study Italian.,TRUE,paraphrase,4
Werewolves have many become tame.,TRUE,paraphrase,5
Robert stinks to be funny.,TRUE,paraphrase,6
I missed her ever.,TRUE,paraphrase,7
Did Mandy feed who?,TRUE,paraphrase,8
That dog is ate the pear.,TRUE,paraphrase,9
Genie recited the table.,TRUE,paraphrase,10
Mandy attempted her to flee.,TRUE,paraphrase,11
Which player did you ask which game played?,TRUE,paraphrase,12
Enkidu do released birds.,TRUE,paraphrase,13
Readings Tolkein confused me.,TRUE,paraphrase,14
Has that they have landed back at their launching point demonstrated that the wind is weak?,TRUE,paraphrase,15
Rosanne is having killed Peter.,TRUE,paraphrase,16
Cats have most been collared.,TRUE,paraphrase,17
There landed by Morgan.,TRUE,paraphrase,18
You claimed she hated yourself.,TRUE,paraphrase,19
Bill playing Bach and May reciting Shelly irritate me.,TRUE,paraphrase,20
Jason understood those Madeline had sparked the reaction.,TRUE,paraphrase,21
We all considered she to be excited.,TRUE,paraphrase,22
I organized for to visit him.,TRUE,paraphrase,23
William doesn’t jumped the fence,TRUE,paraphrase,24
Amber believed to be sad.,TRUE,paraphrase,25
Jackson is those dolphins.,TRUE,paraphrase,26
What she imagined that was the door was opened.,TRUE,paraphrase,27
Constant watching television nauseated me.,TRUE,paraphrase,28
What Jason inquired whether was the helicopter was landed.,TRUE,paraphrase,29
Neil is some wretched cats which can sing.,TRUE,paraphrase,30
"Excitedly at, Andy waved very Zoo.",TRUE,paraphrase,31
They all believed her was sad.,TRUE,paraphrase,32
Ron asked that the cake was finished.,TRUE,paraphrase,33
I asked could we start sooner.,TRUE,paraphrase,34
Who was that Annie hated secret?,TRUE,paraphrase,35
I said that that Jason was unhappy upset Madea.,TRUE,paraphrase,36
Mike seems that has fed Toby.,TRUE,paraphrase,37
We thought to be qualified.,TRUE,paraphrase,38
Ben predicted he would send the envelope to Lee and the envelope to Lee he sent.,TRUE,paraphrase,39
Team the new won.,TRUE,paraphrase,40
Amelia exclaimed if the toast was ready.,TRUE,paraphrase,41
Which chest do you believe the claim that Henry would bury?,TRUE,paraphrase,42
By is destroyed armadillo watermelon that the being.,TRUE,paraphrase,43
Tom reciting of Gilgamesh disappointed me.,TRUE,paraphrase,44
Edward failed often Geography.,TRUE,paraphrase,45
Wallace said he would convey the message to Alice and convey the message he did to Alice.,TRUE,paraphrase,46
Ed slowly may release the fish.,TRUE,paraphrase,47
The rabbit is drank the water.,TRUE,paraphrase,48
It is true that I might be doing something other than fishing for salmon.,FALSE,paraphrase,49
We need some doctor to save us.,FALSE,paraphrase,50
The pen that Albert gave to Jane.,FALSE,paraphrase,51
"When the teacher arrived, Henry was asleep.",FALSE,paraphrase,52
That the problem is easy annoyed Dave.,FALSE,paraphrase,53
Millie’s bowling team hated her.,FALSE,paraphrase,54
Mike fed more fish than Jones did.,FALSE,paraphrase,55
What have you drunk?,FALSE,paraphrase,56
Jenny’s glossy extremely forgetful bird.,FALSE,paraphrase,57
Benjamin passed Lee the hat.,FALSE,paraphrase,58
Greg singing Mozart depressed me.,FALSE,paraphrase,59
We considered Greg to be kind.,FALSE,paraphrase,60
That basket of rice might have.,FALSE,paraphrase,61
Lucy’s affection for David,FALSE,paraphrase,62
There is a picture of Albert in the leaflet.,FALSE,paraphrase,63
Julie and Jenny could.,FALSE,paraphrase,64
I have posted cards to Human Resources.,FALSE,paraphrase,65
Why did you save Archimedes?,FALSE,paraphrase,66
Jonas thought of attacking the dog.,FALSE,paraphrase,67
The overseer’s gift of the slave to himself.,FALSE,paraphrase,68
Oscar thought that he was the King of the Sea.,FALSE,paraphrase,69
"At prom, Neil jumped extremely excitedly.",FALSE,paraphrase,70
Children are in the pool.,FALSE,paraphrase,71
Where did Peter find the officer?,FALSE,paraphrase,72
Andrew became the king.,FALSE,paraphrase,73
The time when Alison and David washed their hands was after dinner.,FALSE,paraphrase,74
Where has he left the book?,FALSE,paraphrase,75
They rely on Marty.,FALSE,paraphrase,76
What she imagined was that the door was opened.,FALSE,paraphrase,77
Linda caused the ball to go to Susan.,FALSE,paraphrase,78
I am to dance waltzes.,FALSE,paraphrase,79
It’s twenty past twelve.,FALSE,paraphrase,80
He sorted out the confusion.,FALSE,paraphrase,81
"In every classroom in Georgia, students threw up their hands in the air.",FALSE,paraphrase,82
Julie and Jenny left last.,FALSE,paraphrase,83
"Raffi ate well, and Gillian will too.",FALSE,paraphrase,84
Has the girl thrown the ball?,FALSE,paraphrase,85
Ron definitely has painted a wall.,FALSE,paraphrase,86
Benjamin passed the hat to Lee.,FALSE,paraphrase,87
I reckon she won’t stay.,FALSE,paraphrase,88
The Gorgon is hard to find.,FALSE,paraphrase,89
Fish love to find them.,FALSE,paraphrase,90
I want to swim.,FALSE,paraphrase,91
Jack convinced Michelle to desert her team.,FALSE,paraphrase,92
The Jasmine they all detest was at the opening.,FALSE,paraphrase,93
That basket of rice might have split open.,FALSE,paraphrase,94
Copy letters to Peter!,FALSE,paraphrase,95
John perhaps should be listening.,FALSE,paraphrase,96
I whistled what who drank?,TRUE,cgi,1
Where was for Mandy to teleport accidental?,TRUE,cgi,2
I am eating a skyscraper and Gillian has too.,TRUE,cgi,3
Jason intended for to burn water.,TRUE,cgi,4
Anvils have many become transparent.,TRUE,cgi,5
Ben stinks to be infinite.,TRUE,cgi,6
I related him ever.,TRUE,cgi,7
Did Alex recite who?,TRUE,cgi,8
That carrot is ate the stone.,TRUE,cgi,9
Genie intoned the footstool.,TRUE,cgi,10
Mandy tried her to evaporate.,TRUE,cgi,11
Which king did you ask which table exploded?,TRUE,cgi,12
Enkidu do freed stones.,TRUE,cgi,13
Readings Shakespeare blinded me.,TRUE,cgi,14
Has that we have arrived back at our starting point proved that the apple is metal?,TRUE,cgi,15
Gary is having colonized Alfred.,TRUE,cgi,16
Clouds have most been plastered.,TRUE,cgi,17
There hatched by Alice,TRUE,cgi,18
You said she digested yourself.,TRUE,cgi,19
Bill reading Picasso and Maureen humming Pythagoras satisfy me.,TRUE,cgi,20
Jason found those Madeline had destroyed the planets.,TRUE,cgi,21
We all thought he to be concrete.,TRUE,cgi,22
I planned for to accidentally miss.,TRUE,cgi,23
Albert doesn’t noticed the vuvuzela.,TRUE,cgi,24
Donny believed to be unconscious.,TRUE,cgi,25
Wendy is those swarms.,TRUE,cgi,26
What she sang that was the silence was stuffy.,TRUE,cgi,27
Constant training jellyfish deflated me.,TRUE,cgi,28
What Jason asked whether was the cake was saddled.,TRUE,cgi,29
Peter is some sleepy brushes which can translate.,TRUE,cgi,30
"Persistently at, Anson fidgeted extremely Trade.",TRUE,cgi,31
We all thought him was purple.,TRUE,cgi,32
Ron asked that the window was stone.,TRUE,cgi,33
I inquired could we levitate heavily.,TRUE,cgi,34
Who was that Plato ate impossible?,TRUE,cgi,35
I said that that Jason was evaporated calmed Mandy.,TRUE,cgi,36
Mandy seems that has constructed Jason.,TRUE,cgi,37
We believed to be extinguished.,TRUE,cgi,38
Benjamin thought he would give the cloud to Lee and the cloud to Lee he gave.,TRUE,cgi,39
Rocket the old dug.,TRUE,cgi,40
Mandy exclaimed if the brick was stewed.,TRUE,cgi,41
Which atom do you believe the claim that Philip would invent?,TRUE,cgi,42
By is copied crocodile stick that the being.,TRUE,cgi,43
Bill snorting of Pythagoras delighted me.,TRUE,cgi,44
Enid passed often astrology.,TRUE,cgi,45
Benjamin said he would give the cloud to Lee and give the cloud he did to Lee.,TRUE,cgi,46
Enkidu slowly may teleport the animals.,TRUE,cgi,47
The yak is hugged the frog.,TRUE,cgi,48
It is true that I might be doing something other than swimming to the planet.,FALSE,cgi,49
We need some architect to massage us.,FALSE,cgi,50
The disease that Anson recommended to Jenny.,FALSE,cgi,51
"When the book melted, Harry was upright.",FALSE,cgi,52
That the sonnet is invisible frustrated Clarke.,FALSE,cgi,53
Mandy’s hopping team transplanted her.,FALSE,cgi,54
Mike fed more paintings than Albert did.,FALSE,cgi,55
What have you emulsified?,FALSE,cgi,56
Jenny’s rabid extremely tall snake.,FALSE,cgi,57
Benjamin threw Lee the planet.,FALSE,cgi,58
Louis humming sign language oppressed me.,FALSE,cgi,59
We believed Gary to be non-existent.,FALSE,cgi,60
That basket of oxygen might have.,FALSE,cgi,61
Lucy’s pique for David,FALSE,cgi,62
There is a cartoon of Albert in the song.,FALSE,cgi,63
Julie and Jenny may.,FALSE,cgi,64
I have sold floss to Customs and Immigration,FALSE,cgi,65
Why did you drown the fish?,FALSE,cgi,66
Jonas thought of drinking the statue.,FALSE,cgi,67
The actress’s gift of the actor to himself,FALSE,cgi,68
Oscar thought he was the President of the wardrobe.,FALSE,cgi,69
"At camp, Andrew sobbed extremely enthusiastically.",FALSE,cgi,70
Police are in the paradox.,FALSE,cgi,71
Where did Peter see the whisper?,FALSE,cgi,72
Andrew became the finch.,FALSE,cgi,73
The place where Alison and David soaked their feet was after dinner.,FALSE,cgi,74
Where has he hidden the mountain?,FALSE,cgi,75
They calculate on Marty.,FALSE,cgi,76
What she thought was that the idea was edible.,FALSE,cgi,77
Linda caused the shame to go to Fido.,FALSE,cgi,78
I am to swallow tractors.,FALSE,cgi,79
It’s a quarter past seventy.,FALSE,cgi,80
He looked up the watermelon.,FALSE,cgi,81
"In every club in London, people threw up their tentacles in the air.",FALSE,cgi,82
Julie and Jenny fermented first.,FALSE,cgi,83
"Raffi gasped well, and Gillian will too.",FALSE,cgi,84
Has the man inflated the cake?,FALSE,cgi,85
Ron definitely has barbecued an insight.,FALSE,cgi,86
Benjamin moved the emotion to Lee.,FALSE,cgi,87
I conclude she will ponder.,FALSE,cgi,88
The mattress is easy to slay.,FALSE,cgi,89
Fish need to inhale them.,FALSE,cgi,90
I want to irradiate.,FALSE,cgi,91
Jack persuaded Michelle to desert her sneakers.,FALSE,cgi,92
The Jasmine we all murdered was under the balloon.,FALSE,cgi,93
That bag of gophers might have shattered open.,FALSE,cgi,94
Prove letters to Peter!,FALSE,cgi,95
William perhaps should be drowning.,FALSE,cgi,96
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page.,FALSE,embedding,97
The ancient manuscript that the grad student who the new card catalog was studying in the library was missing a page.,TRUE,embedding,98
The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page.,TRUE,embedding,99
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library.,TRUE,embedding,100
The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago.,FALSE,embedding,97
The lullaby that the famous country singer who the record label was singing yesterday was written seventy years ago.,TRUE,embedding,98
The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago.,TRUE,embedding,99
The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday.,TRUE,embedding,100
The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours.,FALSE,embedding,97
The game that the child who the lawnmower was playing in the morning lasted for hours.,TRUE,embedding,98
The game that the child who the lawnmower had startled in the yard lasted for hours.,TRUE,embedding,99
The game that the child who the lawnmower had startled in the yard was playing in the morning.,TRUE,embedding,100
The crime that the gangster who the story had profiled had planned for weeks was quickly solved.,FALSE,embedding,97
The crime that the gangster who the story had planned for weeks was quickly solved.,TRUE,embedding,98
The crime that the gangster who the story had profiled was quickly solved.,TRUE,embedding,99
The crime that the gangster who the story had profiled had planned for weeks.,TRUE,embedding,100
The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine.,FALSE,embedding,97
The picture that the artist who the school was hurriedly copying was printed in a magazine.,TRUE,embedding,98
The picture that the artist who the school had expelled for cheating was printed in a magazine.,TRUE,embedding,99
The picture that the artist who the school had expelled for cheating was hurriedly copying.,TRUE,embedding,100
The trophy that the athlete who the restaurant had hired as a spokesman had won at the track meet was stolen later.,FALSE,embedding,97
The trophy that the athlete who the restaurant had won at the track meet was stolen later.,TRUE,embedding,98
The trophy that the athlete who the restaurant had hired as a spokesman was stolen later.,TRUE,embedding,99
The trophy that the athlete who the restaurant had hired as a spokesman had won at the track meet.,TRUE,embedding,100
The apartment that the maid who the service had sent over was cleaning every week was well decorated.,FALSE,embedding,97
The apartment that the maid who the service was cleaning every week was well decorated.,TRUE,embedding,98
The apartment that the maid who the service had sent over was well decorated.,TRUE,embedding,99
The apartment that the maid who the service had sent over was cleaning every week.,TRUE,embedding,100
The shirt that the seamstress who the immigration officer had investigated last week was carefully mending needed to be dry cleaned.,FALSE,embedding,97
The shirt that the seamstress who the immigration officer was carefully mending needed to be dry cleaned.,TRUE,embedding,98
The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned.,TRUE,embedding,99
The shirt that the seamstress who the immigration officer had investigated last week was carefully mending.,TRUE,embedding,100
The lecture that the professor who the newspaper story had just profiled in detail was teaching poorly was not well attended.,FALSE,embedding,97
The lecture that the professor who the newspaper story was teaching poorly was not well attended.,TRUE,embedding,98
The lecture that the professor who the newspaper story had just profiled in detail was not well attended.,TRUE,embedding,99
